city,trip_id,train_id,line,station_name,station_sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,delay_arrival_min,delay_departure_min,passenger_density,weather,delay_reason
Delhi,TP-000025,TRN-DEL-YEL-01,Yellow Line,Adarsh Nagar,3,2023-03-05 07:38:00,2023-03-05 07:38:00,2023-03-05 07:39:00,2023-03-05 07:39:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000026,TRN-DEL-YEL-02,Yellow Line,Adarsh Nagar,1,2023-03-05 11:00:00,2023-03-05 11:00:00,2023-03-05 11:01:00,2023-03-05 11:01:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000026,TRN-DEL-YEL-02,Yellow Line,Central Secretariat,2,2023-03-05 11:04:00,2023-03-05 11:04:00,2023-03-05 11:05:00,2023-03-05 11:05:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000026,TRN-DEL-YEL-02,Yellow Line,AIIMS,3,2023-03-05 11:08:00,2023-03-05 11:08:00,2023-03-05 11:09:00,2023-03-05 11:09:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000027,TRN-DEL-YEL-03,Yellow Line,AIIMS,1,2023-03-05 14:30:00,2023-03-05 14:30:00,2023-03-05 14:31:00,2023-03-05 14:31:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000027,TRN-DEL-YEL-03,Yellow Line,Central Secretariat,2,2023-03-05 14:34:00,2023-03-05 14:34:00,2023-03-05 14:35:00,2023-03-05 14:35:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000027,TRN-DEL-YEL-03,Yellow Line,Adarsh Nagar,3,2023-03-05 14:38:00,2023-03-05 14:38:00,2023-03-05 14:39:00,2023-03-05 14:39:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000028,TRN-DEL-YEL-04,Yellow Line,Adarsh Nagar,1,2023-03-05 18:00:00,2023-03-05 18:00:00,2023-03-05 18:01:00,2023-03-05 18:01:00,0.0,0.0,High,Sunny,None
Delhi,TP-000028,TRN-DEL-YEL-04,Yellow Line,Central Secretariat,2,2023-03-05 18:04:00,2023-03-05 18:04:00,2023-03-05 18:05:00,2023-03-05 18:05:00,0.0,0.0,High,Sunny,None
Delhi,TP-000028,TRN-DEL-YEL-04,Yellow Line,AIIMS,3,2023-03-05 18:08:00,2023-03-05 18:08:00,2023-03-05 18:09:00,2023-03-05 18:09:00,0.0,0.0,High,Sunny,None
Delhi,TP-000029,TRN-DEL-BLU-01,Blue Line,Dwarka Sector 21,1,2023-03-05 07:30:00,2023-03-05 07:30:00,2023-03-05 07:31:00,2023-03-05 07:31:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000029,TRN-DEL-BLU-01,Blue Line,Akshardham,2,2023-03-05 07:34:00,2023-03-05 07:34:00,2023-03-05 07:35:00,2023-03-05 07:35:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000030,TRN-DEL-BLU-02,Blue Line,Akshardham,1,2023-03-05 11:00:00,2023-03-05 11:00:00,2023-03-05 11:01:00,2023-03-05 11:01:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000030,TRN-DEL-BLU-02,Blue Line,Dwarka Sector 21,2,2023-03-05 11:04:00,2023-03-05 11:04:00,2023-03-05 11:05:00,2023-03-05 11:05:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000031,TRN-DEL-BLU-03,Blue Line,Dwarka Sector 21,1,2023-03-05 14:30:00,2023-03-05 14:30:00,2023-03-05 14:31:00,2023-03-05 14:31:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000031,TRN-DEL-BLU-03,Blue Line,Akshardham,2,2023-03-05 14:34:00,2023-03-05 14:34:00,2023-03-05 14:35:00,2023-03-05 14:35:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000032,TRN-DEL-BLU-04,Blue Line,Akshardham,1,2023-03-05 18:00:00,2023-03-05 18:00:57,2023-03-05 18:01:00,2023-03-05 18:03:24,0.96,2.41,High,Sunny,Overcrowding
Delhi,TP-000032,TRN-DEL-BLU-04,Blue Line,Dwarka Sector 21,2,2023-03-05 18:04:00,2023-03-05 18:04:34,2023-03-05 18:05:00,2023-03-05 18:05:34,0.57,0.57,High,Sunny,None
Delhi,TP-000033,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-06 07:30:00,2023-03-06 07:30:00,2023-03-06 07:31:00,2023-03-06 07:31:00,0.0,0.0,Low,Rainy,None
Delhi,TP-000033,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-06 07:34:00,2023-03-06 07:34:00,2023-03-06 07:35:00,2023-03-06 07:35:00,0.0,0.0,Low,Rainy,None
Delhi,TP-000033,TRN-DEL-YEL-01,Yellow Line,Adarsh Nagar,3,2023-03-06 07:38:00,2023-03-06 07:38:50,2023-03-06 07:39:00,2023-03-06 07:39:50,0.85,0.85,Low,Rainy,Weather
Delhi,TP-000034,TRN-DEL-YEL-02,Yellow Line,Adarsh Nagar,1,2023-03-06 11:00:00,2023-03-06 11:00:00,2023-03-06 11:01:00,2023-03-06 11:01:00,0.0,0.0,Medium,Rainy,None
Delhi,TP-000034,TRN-DEL-YEL-02,Yellow Line,Central Secretariat,2,2023-03-06 11:04:00,2023-03-06 11:04:00,2023-03-06 11:05:00,2023-03-06 11:05:00,0.0,0.0,Medium,Rainy,None
Delhi,TP-000034,TRN-DEL-YEL-02,Yellow Line,AIIMS,3,2023-03-06 11:08:00,2023-03-06 11:08:00,2023-03-06 11:09:00,2023-03-06 11:09:00,0.0,0.0,Medium,Rainy,None
Delhi,TP-000035,TRN-DEL-YEL-03,Yellow Line,AIIMS,1,2023-03-06 14:30:00,2023-03-06 14:30:00,2023-03-06 14:31:00,2023-03-06 14:31:00,0.0,0.0,Medium,Rainy,None
Delhi,TP-000035,TRN-DEL-YEL-03,Yellow Line,Central Secretariat,2,2023-03-06 14:34:00,2023-03-06 14:34:56,2023-03-06 14:35:00,2023-03-06 14:35:56,0.94,0.94,Medium,Rainy,Weather
Delhi,TP-000035,TRN-DEL-YEL-03,Yellow Line,Adarsh Nagar,3,2023-03-06 14:38:00,2023-03-06 14:38:34,2023-03-06 14:39:00,2023-03-06 14:39:34,0.57,0.57,Medium,Rainy,None
Delhi,TP-000036,TRN-DEL-YEL-04,Yellow Line,Adarsh Nagar,1,2023-03-06 18:00:00,2023-03-06 18:00:00,2023-03-06 18:01:00,2023-03-06 18:01:00,0.0,0.0,High,Rainy,None
Delhi,TP-000036,TRN-DEL-YEL-04,Yellow Line,Central Secretariat,2,2023-03-06 18:04:00,2023-03-06 18:04:00,2023-03-06 18:05:00,2023-03-06 18:05:00,0.0,0.0,High,Rainy,None
Delhi,TP-000036,TRN-DEL-YEL-04,Yellow Line,AIIMS,3,2023-03-06 18:08:00,2023-03-06 18:10:36,2023-03-06 18:09:00,2023-03-06 18:13:12,2.6,4.22,High,Rainy,Weather
Delhi,TP-000037,TRN-DEL-BLU-01,Blue Line,Dwarka Sector 21,1,2023-03-06 07:30:00,2023-03-06 07:30:00,2023-03-06 07:31:00,2023-03-06 07:31:00,0.0,0.0,Low,Rainy,None
Delhi,TP-000037,TRN-DEL-BLU-01,Blue Line,Akshardham,2,2023-03-06 07:34:00,2023-03-06 07:34:32,2023-03-06 07:35:00,2023-03-06 07:35:32,0.54,0.54,Low,Rainy,Weather
Delhi,TP-000038,TRN-DEL-BLU-02,Blue Line,Akshardham,1,2023-03-06 11:00:00,2023-03-06 11:00:00,2023-03-06 11:01:00,2023-03-06 11:01:00,0.0,0.0,Medium,Rainy,None
Delhi,TP-000038,TRN-DEL-BLU-02,Blue Line,Dwarka Sector 21,2,2023-03-06 11:04:00,2023-03-06 11:04:00,2023-03-06 11:05:00,2023-03-06 11:05:00,0.0,0.0,Medium,Rainy,None
Delhi,TP-000039,TRN-DEL-BLU-03,Blue Line,Dwarka Sector 21,1,2023-03-06 14:30:00,2023-03-06 14:30:33,2023-03-06 14:31:00,2023-03-06 14:31:33,0.55,0.55,Medium,Rainy,Weather
Delhi,TP-000039,TRN-DEL-BLU-03,Blue Line,Akshardham,2,2023-03-06 14:34:00,2023-03-06 14:34:17,2023-03-06 14:35:00,2023-03-06 14:35:17,0.3,0.3,Medium,Rainy,None
Delhi,TP-000040,TRN-DEL-BLU-04,Blue Line,Akshardham,1,2023-03-06 18:00:00,2023-03-06 18:00:59,2023-03-06 18:01:00,2023-03-06 18:03:24,0.99,2.41,High,Rainy,Overcrowding
Delhi,TP-000040,TRN-DEL-BLU-04,Blue Line,Dwarka Sector 21,2,2023-03-06 18:04:00,2023-03-06 18:04:35,2023-03-06 18:05:00,2023-03-06 18:05:35,0.6,0.6,High,Rainy,None
Delhi,TP-000041,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-07 07:30:00,2023-03-07 07:30:00,2023-03-07 07:31:00,2023-03-07 07:31:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000041,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-07 07:34:00,2023-03-07 07:34:00,2023-03-07 07:35:00,2023-03-07 07:35:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000041,TRN-DEL-YEL-01,Yellow Line,Adarsh Nagar,3,2023-03-07 07:38:00,2023-03-07 07:38:00,2023-03-07 07:39:00,2023-03-07 07:39:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000042,TRN-DEL-YEL-02,Yellow Line,Adarsh Nagar,1,2023-03-07 11:00:00,2023-03-07 11:00:00,2023-03-07 11:01:00,2023-03-07 11:01:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000042,TRN-DEL-YEL-02,Yellow Line,Central Secretariat,2,2023-03-07 11:04:00,2023-03-07 11:04:00,2023-03-07 11:05:00,2023-03-07 11:05:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000042,TRN-DEL-YEL-02,Yellow Line,AIIMS,3,2023-03-07 11:08:00,2023-03-07 11:08:00,2023-03-07 11:09:00,2023-03-07 11:09:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000043,TRN-DEL-YEL-03,Yellow Line,AIIMS,1,2023-03-07 14:30:00,2023-03-07 14:30:00,2023-03-07 14:31:00,2023-03-07 14:31:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000043,TRN-DEL-YEL-03,Yellow Line,Central Secretariat,2,2023-03-07 14:34:00,2023-03-07 14:34:00,2023-03-07 14:35:00,2023-03-07 14:35:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000043,TRN-DEL-YEL-03,Yellow Line,Adarsh Nagar,3,2023-03-07 14:38:00,2023-03-07 14:38:00,2023-03-07 14:39:00,2023-03-07 14:39:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000044,TRN-DEL-YEL-04,Yellow Line,Adarsh Nagar,1,2023-03-07 18:00:00,2023-03-07 18:00:00,2023-03-07 18:01:00,2023-03-07 18:01:00,0.0,0.0,High,Overcast,None
Delhi,TP-000044,TRN-DEL-YEL-04,Yellow Line,Central Secretariat,2,2023-03-07 18:04:00,2023-03-07 18:04:00,2023-03-07 18:05:00,2023-03-07 18:05:00,0.0,0.0,High,Overcast,None
Delhi,TP-000044,TRN-DEL-YEL-04,Yellow Line,AIIMS,3,2023-03-07 18:08:00,2023-03-07 18:08:52,2023-03-07 18:09:00,2023-03-07 18:11:06,0.87,2.11,High,Overcast,Overcrowding
Delhi,TP-000045,TRN-DEL-BLU-01,Blue Line,Dwarka Sector 21,1,2023-03-07 07:30:00,2023-03-07 07:30:00,2023-03-07 07:31:00,2023-03-07 07:31:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000045,TRN-DEL-BLU-01,Blue Line,Akshardham,2,2023-03-07 07:34:00,2023-03-07 07:34:00,2023-03-07 07:35:00,2023-03-07 07:35:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000046,TRN-DEL-BLU-02,Blue Line,Akshardham,1,2023-03-07 11:00:00,2023-03-07 11:00:00,2023-03-07 11:01:00,2023-03-07 11:01:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000046,TRN-DEL-BLU-02,Blue Line,Dwarka Sector 21,2,2023-03-07 11:04:00,2023-03-07 11:04:00,2023-03-07 11:05:00,2023-03-07 11:05:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000047,TRN-DEL-BLU-03,Blue Line,Dwarka Sector 21,1,2023-03-07 14:30:00,2023-03-07 14:30:00,2023-03-07 14:31:00,2023-03-07 14:31:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000047,TRN-DEL-BLU-03,Blue Line,Akshardham,2,2023-03-07 14:34:00,2023-03-07 14:34:00,2023-03-07 14:35:00,2023-03-07 14:35:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000048,TRN-DEL-BLU-04,Blue Line,Akshardham,1,2023-03-07 18:00:00,2023-03-07 18:00:00,2023-03-07 18:01:00,2023-03-07 18:01:00,0.0,0.0,High,Overcast,None
Delhi,TP-000048,TRN-DEL-BLU-04,Blue Line,Dwarka Sector 21,2,2023-03-07 18:04:00,2023-03-07 18:04:00,2023-03-07 18:05:00,2023-03-07 18:05:00,0.0,0.0,High,Overcast,None
Delhi,TP-000049,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-08 07:30:00,2023-03-08 07:30:00,2023-03-08 07:31:00,2023-03-08 07:31:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000049,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-08 07:34:00,2023-03-08 07:34:00,2023-03-08 07:35:00,2023-03-08 07:35:00,0.0,0.0,Low,Sunny,None
