City,Station,Line,Latitude,Longitude
Delhi,Jangpura,Violet Line,28.5822,77.2436
Delhi,Lajpat Nagar,Violet Line,28.5678,77.2436
Delhi,Kalkaji Mandir,Violet Line,28.5486,77.2589
Delhi,Nehru Place,Violet Line,28.5486,77.2519
Delhi,Escorts Mujesar,Violet Line,28.3900,77.3150
Delhi,Botanical Garden,Magenta Line,28.5642,77.3339
Delhi,Greater Kailash,Magenta Line,28.5411,77.2394
Delhi,Janakpuri West,Magenta Line,28.6217,77.0806
Delhi,Shalimar Bagh,Pink Line,28.7175,77.1583
Delhi,Punjabi Bagh West,Pink Line,28.6669,77.1319
Delhi,Mayur Vihar Pod,Pink Line,28.6047,77.2941
Delhi,Shiv Vihar,Pink Line,28.7089,77.3222
Delhi,New Ashok Nagar,Grey Line,28.5967,77.3086
Delhi,Dhansa Bus Stand,Grey Line,28.5936,76.9700
Mumbai,Versova,Line 1,19.1291,72.8254
Mumbai,DN Nagar,Line 1,19.1244,72.8314
Mumbai,Azad Nagar,Line 1,19.1272,72.8375
Mumbai,Andheri,Line 1,19.1197,72.8464
Mumbai,Gundavali,Line 1,19.1158,72.8564
Mumbai,Western Express Highway,Line 1,19.1211,72.8611
Mumbai,Chakala,Line 1,19.1103,72.8608
Mumbai,Airport Road,Line 1,19.1075,72.8683
Mumbai,Marol Naka,Line 1,19.1094,72.8778
Mumbai,Saki Naka,Line 1,19.1072,72.8878
Mumbai,Asalpha,Line 1,19.0942,72.8925
Mumbai,Jagruti Nagar,Line 1,19.0908,72.9003
Mumbai,Ghatkopar,Line 1,19.0863,72.9081
Mumbai,Dahisar East,Line 7,19.2507,72.8596
Mumbai,Ovaripada,Line 7,19.2411,72.8578
Mumbai,National Park,Line 7,19.2117,72.8636
Mumbai,Devipada,Line 7,19.2036,72.8592
Mumbai,Dindoshi,Line 7,19.1783,72.8506
Mumbai,Aarey,Line 2A,19.1531,72.8631
Mumbai,Dahanukarwadi,Line 2A,19.1808,72.8397
Mumbai,Poisar,Line 2A,19.2075,72.8494
Mumbai,Malad West,Line 2A,19.1864,72.8397
Mumbai,BKC,Line 3,19.0669,72.8686
Mumbai,Sahar Road,Line 3,19.1006,72.8683
Bengaluru,Nagasandra,Green Line,13.0447,77.5033
Bengaluru,Peenya,Green Line,13.0292,77.5203
Bengaluru,Yeshwanthpur,Green Line,13.0281,77.5528
Bengaluru,Mahalakshmi,Green Line,13.0122,77.5522
Bengaluru,Majestic,Green Line,12.9756,77.5728
Bengaluru,Chickpet,Green Line,12.9686,77.5761
Bengaluru,Lalbagh,Green Line,12.9539,77.5850
Bengaluru,South End Circle,Green Line,12.9364,77.5817
Bengaluru,Jayanagar,Green Line,12.9272,77.5801
Bengaluru,Yelachenahalli,Green Line,12.8962,77.5731
Bengaluru,Silk Institute,Green Line,12.8878,77.5722
Bengaluru,Whitefield,Purple Line,12.9697,77.7497
Bengaluru,Kadugodi,Purple Line,12.9925,77.7597
Bengaluru,Baiyappanahalli,Purple Line,12.9908,77.6528
Bengaluru,Indiranagar,Purple Line,12.9784,77.6385
Bengaluru,Halasuru,Purple Line,12.9756,77.6272
Bengaluru,MG Road,Purple Line,12.9743,77.6111
Bengaluru,Cubbon Park,Purple Line,12.9769,77.5947
Bengaluru,Vidhana Soudha,Purple Line,12.9789,77.5911
Bengaluru,Vijayanagar,Purple Line,12.9647,77.5372
Bengaluru,Mysuru Road,Purple Line,12.9508,77.5300
Bengaluru,Kengeri,Purple Line,12.9081,77.4822
Bengaluru,Central Silk Board,Yellow Line,12.9172,77.6228
Bengaluru,Bommasandra,Yellow Line,12.8158,77.6969
Chennai,Wimco Nagar,Blue Line,13.1394,80.2919
Chennai,Washermanpet,Blue Line,13.1114,80.2792
Chennai,Chennai Central,Blue Line,13.0827,80.2707
Chennai,Egmore,Blue Line,13.0778,80.2611
Chennai,Nehru Park,Blue Line,13.0692,80.2494
Chennai,Kilpauk,Blue Line,13.0764,80.2419
Chennai,Anna Nagar East,Blue Line,13.0850,80.2172
Chennai,Anna Nagar Tower,Blue Line,13.0864,80.2056
Chennai,Koyambedu,Blue Line,13.0733,80.1947
Chennai,CMBT,Blue Line,13.0692,80.1936
Chennai,Arumbakkam,Blue Line,13.0700,80.2075
Chennai,Vadapalani,Blue Line,13.0503,80.2131
Chennai,Ashok Nagar,Blue Line,13.0378,80.2103
Chennai,Ekkatuthangal,Blue Line,13.0158,80.2033
Chennai,Guindy,Blue Line,13.0106,80.2119
Chennai,Alandur,Blue Line,13.0039,80.2014
Chennai,Nanganallur Road,Blue Line,12.9944,80.1922
Chennai,Meenambakkam,Blue Line,12.9917,80.1697
Chennai,Chennai Airport,Blue Line,12.9816,80.1764
Chennai,Government Estate,Green Line,13.0703,80.2711
Chennai,LIC,Green Line,13.0603,80.2606
Chennai,Thousand Lights,Green Line,13.0567,80.2531
Chennai,AG-DMS,Green Line,13.0472,80.2478
Chennai,Teynampet,Green Line,13.0392,80.2444
Chennai,Nandanam,Green Line,13.0328,80.2408
Chennai,Saidapet,Green Line,13.0219,80.2233
Chennai,St Thomas Mount,Green Line,13.0128,80.2033
Kolkata,Dakshineswar,Blue Line,22.6562,88.3533
Kolkata,Baranagar,Blue Line,22.6461,88.3703
Kolkata,Noapara,Blue Line,22.6244,88.3778
Kolkata,Dum Dum,Blue Line,22.6203,88.3779
Kolkata,Belgachia,Blue Line,22.6078,88.3742
Kolkata,Shyambazar,Blue Line,22.5992,88.3742
Kolkata,Shobhabazar,Blue Line,22.5942,88.3639
Kolkata,Girish Park,Blue Line,22.5867,88.3611
Kolkata,Mahatma Gandhi Road,Blue Line,22.5800,88.3608
Kolkata,Central,Blue Line,22.5722,88.3600
Kolkata,Chandni Chowk,Blue Line,22.5678,88.3564
Kolkata,Esplanade,Blue Line,22.5644,88.3517
Kolkata,Park Street,Blue Line,22.5532,88.3514
Kolkata,Maidan,Blue Line,22.5464,88.3439
Kolkata,Rabindra Sadan,Blue Line,22.5406,88.3486
Kolkata,Netaji Bhavan,Blue Line,22.5314,88.3517
Kolkata,Jatin Das Park,Blue Line,22.5228,88.3489
Kolkata,Kalighat,Blue Line,22.5192,88.3428
Kolkata,Rabindra Sarobar,Blue Line,22.5108,88.3628
Kolkata,Mahanayak Uttam Kumar,Blue Line,22.5008,88.3439
Kolkata,Netaji,Blue Line,22.4933,88.3439
Kolkata,Masterda Surya Sen,Blue Line,22.4869,88.3467
Kolkata,Gitanjali,Blue Line,22.4772,88.3486
Kolkata,Kavi Nazrul,Blue Line,22.4703,88.3536
Kolkata,Shahid Khudiram,Blue Line,22.4625,88.3547
Kolkata,Kavi Subhash,Blue Line,22.4586,88.3944
Kolkata,Salt Lake Sector V,Green Line,22.5804,88.4378
Kolkata,Karunamoyee,Green Line,22.5786,88.4319
Kolkata,City Centre,Green Line,22.5842,88.4194
Kolkata,Central Park,Green Line,22.5814,88.4136
Kolkata,Salt Lake Stadium,Green Line,22.5697,88.4089
Kolkata,Phoolbagan,Green Line,22.5697,88.3936
Kolkata,Sealdah,Green Line,22.5675,88.3706
Kolkata,Howrah,Green Line,22.5849,88.3416
Kolkata,Howrah Maidan,Green Line,22.5878,88.3306
Hyderabad,Miyapur,Red Line,17.4968,78.3614
Hyderabad,JNTU College,Red Line,17.4931,78.3908
Hyderabad,KPHB Colony,Red Line,17.4869,78.3958
Hyderabad,Kukatpally,Red Line,17.4850,78.4064
Hyderabad,Balanagar,Red Line,17.4658,78.4408
Hyderabad,Moosapet,Red Line,17.4756,78.4200
Hyderabad,Bharat Nagar,Red Line,17.4581,78.4506
Hyderabad,Erragadda,Red Line,17.4522,78.4408
Hyderabad,ESI Hospital,Red Line,17.4472,78.4453
Hyderabad,SR Nagar,Red Line,17.4419,78.4472
Hyderabad,Ameerpet,Red Line,17.4375,78.4482
Hyderabad,Punjagutta,Red Line,17.4283,78.4522
Hyderabad,Irrum Manzil,Red Line,17.4225,78.4600
Hyderabad,Khairatabad,Red Line,17.4108,78.4600
Hyderabad,Lakdi Ka Pul,Red Line,17.4022,78.4664
Hyderabad,Assembly,Red Line,17.3944,78.4744
Hyderabad,Nampally,Red Line,17.3908,78.4783
Hyderabad,Gandhi Bhavan,Red Line,17.3872,78.4839
Hyderabad,Osmania Medical College,Red Line,17.3792,78.4894
Hyderabad,MG Bus Station,Red Line,17.3778,78.4812
Hyderabad,Malakpet,Red Line,17.3722,78.4989
Hyderabad,New Market,Red Line,17.3689,78.5044
Hyderabad,Musarambagh,Red Line,17.3667,78.5147
Hyderabad,Dilsukhnagar,Red Line,17.3686,78.5253
Hyderabad,Chaitanyapuri,Red Line,17.3706,78.5364
Hyderabad,Victoria Memorial,Red Line,17.3714,78.5461
Hyderabad,LB Nagar,Red Line,17.3450,78.5533
Hyderabad,Nagole,Blue Line,17.4254,78.5684
Hyderabad,Uppal,Blue Line,17.4033,78.5589
Hyderabad,Stadium,Blue Line,17.4189,78.5511
Hyderabad,NGRI,Blue Line,17.4247,78.5397
Hyderabad,Habsiguda,Blue Line,17.4028,78.5397
Hyderabad,Tarnaka,Blue Line,17.4272,78.5325
Hyderabad,Mettuguda,Blue Line,17.4364,78.5192
Hyderabad,Secunderabad East,Blue Line,17.4429,78.5036
Hyderabad,Parade Ground,Blue Line,17.4436,78.4986
Hyderabad,Paradise,Blue Line,17.4433,78.4914
Hyderabad,Rasoolpura,Blue Line,17.4408,78.4808
Hyderabad,Prakash Nagar,Blue Line,17.4356,78.4664
Hyderabad,Begumpet,Blue Line,17.4419,78.4636
Hyderabad,Madhura Nagar,Blue Line,17.4358,78.4497
Hyderabad,Yusufguda,Blue Line,17.4300,78.4331
Hyderabad,Jubilee Hills,Blue Line,17.4272,78.4147
Hyderabad,Peddamma Gudi,Blue Line,17.4292,78.4053
Hyderabad,Madhapur,Blue Line,17.4478,78.3914
Hyderabad,Durgam Cheruvu,Blue Line,17.4344,78.3878
Hyderabad,Hitech City,Blue Line,17.4486,78.3808
Hyderabad,Raidurg,Blue Line,17.4428,78.3785
Ahmedabad,Vastral Gam,Red Line,23.0069,72.6631
Ahmedabad,Rabari Colony,Red Line,23.0136,72.6486
Ahmedabad,Amraiwadi,Red Line,23.0142,72.6236
Ahmedabad,Apparel Park,Red Line,23.0197,72.6086
Ahmedabad,Kalupur Station,Red Line,23.0289,72.6014
Ahmedabad,Ghee Kanta,Red Line,23.0281,72.5897
Ahmedabad,Sabarmati,Red Line,23.0611,72.5822
Ahmedabad,Motera Stadium,Red Line,23.0911,72.5978
Ahmedabad,Gyaspur,Red Line,22.9767,72.5847
Ahmedabad,Vasna,Red Line,22.9986,72.5636
Ahmedabad,Thaltej,Blue Line,23.0489,72.5122
Ahmedabad,Doordarshan Kendra,Blue Line,23.0428,72.5297
Ahmedabad,Gurukul,Blue Line,23.0417,72.5361
Ahmedabad,Vijay Nagar,Blue Line,23.0333,72.5453
Ahmedabad,Usmanpura,Blue Line,23.0397,72.5686
Ahmedabad,Sabarmati Railway,Blue Line,23.0678,72.5972
Ahmedabad,APMC,Blue Line,22.9804,72.5481
Ahmedabad,Kankaria East,Blue Line,22.9944,72.6014
Kochi,Aluva,Blue Line,10.1094,76.3478
Kochi,Pulinchodu,Blue Line,10.0994,76.3444
Kochi,Companypady,Blue Line,10.0894,76.3392
Kochi,Ambattukavu,Blue Line,10.0761,76.3336
Kochi,Muttom,Blue Line,10.0658,76.3283
Kochi,Kalamassery,Blue Line,10.0475,76.3247
Kochi,Cochin University,Blue Line,10.0367,76.3225
Kochi,Pathadipalam,Blue Line,10.0253,76.3178
Kochi,Edappally,Blue Line,10.0254,76.3114
Kochi,Changampuzha Park,Blue Line,10.0189,76.3067
Kochi,Palarivattom,Blue Line,10.0022,76.3072
Kochi,JLN Stadium,Blue Line,9.9917,76.3033
Kochi,Kaloor,Blue Line,9.9847,76.2967
Kochi,Town Hall,Blue Line,9.9822,76.2867
Kochi,MG Road,Blue Line,9.9789,76.2814
Kochi,Maharajas College,Blue Line,9.9736,76.2778
Kochi,Ernakulam South,Blue Line,9.9654,76.2954
Kochi,Kadavanthra,Blue Line,9.9542,76.2953
Kochi,Elamkulam,Blue Line,9.9439,76.3061
Kochi,Vyttila,Blue Line,9.9683,76.3186
Kochi,Thaikoodam,Blue Line,9.9508,76.3253
Kochi,Petta,Blue Line,9.9531,76.3314
Pune,Pimpri Chinchwad,Purple Line,18.6278,73.8012
Pune,Sant Tukaram Nagar,Purple Line,18.6197,73.8025
Pune,Bhosari,Purple Line,18.6100,73.8264
Pune,Kasarwadi,Purple Line,18.5989,73.8203
Pune,Phugewadi,Purple Line,18.5844,73.8244
Pune,Dapodi,Purple Line,18.5747,73.8256
Pune,Bopodi,Purple Line,18.5661,73.8347
Pune,Khadki,Purple Line,18.5606,73.8494
Pune,Range Hills,Purple Line,18.5511,73.8494
Pune,Shivajinagar,Purple Line,18.5314,73.8497
Pune,Civil Court,Purple Line,18.5289,73.8514
Pune,Budhwar Peth,Purple Line,18.5158,73.8564
Pune,Mandai,Purple Line,18.5153,73.8558
Pune,Swargate,Purple Line,18.5019,73.8564
Pune,Vanaz,Aqua Line,18.5089,73.8089
Pune,Anand Nagar,Aqua Line,18.5089,73.8189
Pune,Ideal Colony,Aqua Line,18.5075,73.8275
Pune,Nal Stop,Aqua Line,18.5081,73.8372
Pune,Garware College,Aqua Line,18.5100,73.8419
Pune,Deccan Gymkhana,Aqua Line,18.5150,73.8461
Pune,Sant Tukaram Chowk,Aqua Line,18.5164,73.8500
Pune,PMC,Aqua Line,18.5222,73.8556
Pune,Mangalwar Peth,Aqua Line,18.5164,73.8619
Pune,Pune Railway Station,Aqua Line,18.5286,73.8742
Pune,Ruby Hall Clinic,Aqua Line,18.5306,73.8783
Pune,Bund Garden,Aqua Line,18.5364,73.8839
Pune,Yerwada,Aqua Line,18.5461,73.8869
Pune,Kalyani Nagar,Aqua Line,18.5439,73.9028
Pune,Ramwadi,Aqua Line,18.5511,73.9144
Lucknow,CCS Airport,Red Line,26.7607,80.8893
Lucknow,Amausi,Red Line,26.7658,80.8842
Lucknow,Transport Nagar,Red Line,26.7889,80.8892
Lucknow,Krishna Nagar,Red Line,26.8072,80.8944
Lucknow,Singar Nagar,Red Line,26.8206,80.9008
Lucknow,Alambagh,Red Line,26.8253,80.9022
Lucknow,Alambagh Bus Station,Red Line,26.8319,80.9058
Lucknow,Mawaiya,Red Line,26.8378,80.9086
Lucknow,Durgapuri,Red Line,26.8425,80.9114
Lucknow,Charbagh,Red Line,26.8322,80.9149
Lucknow,Hussainganj,Red Line,26.8467,80.9247
Lucknow,Sachivalaya,Red Line,26.8481,80.9339
Lucknow,Hazratganj,Red Line,26.8504,80.9442
Lucknow,KD Singh Stadium,Red Line,26.8544,80.9422
Lucknow,Vishwavidyalaya,Red Line,26.8672,80.9483
Lucknow,IT Chauraha,Red Line,26.8686,80.9614
Lucknow,Badshah Nagar,Red Line,26.8733,80.9647
Lucknow,Lekhraj Market,Red Line,26.8797,80.9700
Lucknow,Bhootnath,Red Line,26.8797,80.9822
Lucknow,Indira Nagar,Red Line,26.8783,80.9908
Lucknow,Munshi Pulia,Red Line,26.8924,80.9991
Jaipur,Mansarovar,Pink Line,26.8778,75.7533
Jaipur,Shyam Nagar,Pink Line,26.8869,75.7669
Jaipur,New Aatish Market,Pink Line,26.8933,75.7844
Jaipur,Ram Nagar,Pink Line,26.9033,75.7906
Jaipur,Civil Lines,Pink Line,26.9067,75.7994
Jaipur,Railway Station,Pink Line,26.9161,75.7897
Jaipur,Sindhi Camp,Pink Line,26.9222,75.7981
Jaipur,Station,Pink Line,26.9192,75.8064
Jaipur,Chandpole,Pink Line,26.9231,75.8078
Jaipur,Choti Chaupar,Pink Line,26.9247,75.8231
Jaipur,Badi Chaupar,Pink Line,26.9244,75.8314
Jaipur,Ajmeri Gate,Pink Line,26.9169,75.8231
Jaipur,Sanganeri Gate,Pink Line,26.9089,75.8194
Jaipur,Shreenath Puram,Pink Line,26.9019,75.8144
Jaipur,SMS Stadium,Pink Line,26.8983,75.8072
Bhopal,AIIMS Bhopal,Red Line,23.2044,77.4589
Bhopal,Bagsevania,Red Line,23.2178,77.4472
Bhopal,Karond,Red Line,23.2989,77.3978
Bhopal,Board Office,Red Line,23.2311,77.4289
Bhopal,Subhash Nagar,Green Line,23.2422,77.4331
Bhopal,Habibganj,Green Line,23.2286,77.4358
Bhopal,New Market,Green Line,23.2372,77.4092
Bhopal,MP Nagar,Green Line,23.2306,77.4361
